rank_position,title,source,published_at,score,url,description,query
0,GEHC SHAREHOLDER ALERT: Investors Encouraged to Contact Kirby McInerney LLP About Potential Securities Laws Violations,Kirby McInerney LLP,2026-05-14 23:00:00+00:00,0.7344004380899458,https://www.globenewswire.com/news-release/2026/05/14/3295494/937/en/GEHC-SHAREHOLDER-ALERT-Investors-Encouraged-to-Contact-Kirby-McInerney-LLP-About-Potential-Securities-Laws-Violations.html,"NEW YORK, May 14, 2026 (GLOBE NEWSWIRE) -- The law firm of Kirby McInerney LLP reminds investors of its investigation on behalf of GE HealthCare...",technology
1,"Brazil, Russia, India, China and South Africa: How They Stack Up on Reusing Waste | naked capitalism",Yves Smith,2026-05-14 22:53:37+00:00,0.7033334255796713,https://www.nakedcapitalism.com/2026/05/brazil-russia-india-china-and-south-africa-how-they-stack-up-on-reusing-waste.html,"BRICS members have a lot to teach each other, and the advanced world, about waste reuse.",technology
2,CRN Recognized 5 Logicalis Leaders as Women of the Channel for 2026,Logicalis US,2026-05-14 22:52:06+00:00,0.6965943797248808,https://www.globenewswire.com/news-release/2026/05/14/3295493/0/en/CRN-Recognized-5-Logicalis-Leaders-as-Women-of-the-Channel-for-2026.html,CRN Recognized 5 Logicalis Leaders as Women of the Channel for 2026...,technology
3,NikeSKIMS drops ‘second-skin’ feeling activewear that is perfect for your Pilates classes and beyond,Sophie Haslett,2026-05-14 22:43:31+00:00,0.6623327783819897,https://7news.com.au/7you/health-fitness/nikeskims-drops-second-skin-feeling-activewear-that-is-perfect-for-your-pilates-classes-and-beyond-c-22283782,"It’s the brand’s softest, lightest fabric innovation to date.",technology
4,Where is JPMorgan Chase’s headquarters? Inside the banking giant’s new NYC tower,Laura Rodini,2026-05-14 22:35:33+00:00,0.635436505938457,https://www.thestreet.com/investing/stocks/jpmorgan-chase-headquarters,"For over a century, skyscrapers have served as the ultimate symbols of corporate power and ambition, showcasing the latest in technological and engineering advancements while reaching ever higher toward the sky. Perhaps no other building better displays where a business has been — and where it’s ...",technology
5,Federal government invests $12-million in B.C. forestry sector | Globalnews.ca,Marissa Birnie,2026-05-14 22:28:17+00:00,0.6141648795082361,https://globalnews.ca/news/11850320/federal-government-invests-12-million-in-b-c-forestry-sector/,"Minister Tim Hodgson says the funding will prioritize 14 projects that use low-carbon wood technology, expand the use of mass timber in construction, or are Indigenous operated.",technology
6,"GE HEALTHCARE STOCKHOLDER ALERT: Bragar Eagel & Squire, P.C. is Investigating GE HealthCare Technologies Inc. on Behalf of GE HealthCare Stockholders and Encourages Investors to Contact the Firm",Bragar Eagel; Squire,2026-05-14 22:24:57+00:00,0.6052843587865756,https://www.globenewswire.com/news-release/2026/05/14/3295489/0/en/GE-HEALTHCARE-STOCKHOLDER-ALERT-Bragar-Eagel-Squire-P-C-is-Investigating-GE-HealthCare-Technologies-Inc-on-Behalf-of-GE-HealthCare-Stockholders-and-Encourages-Investors-to-Contact-.html,"Bragar Eagel & Squire, P.C. Litigation Partner Brandon Walker Encourages Investors Who Suffered Losses In GE HealthCare (GEHC) To Contact Him Directly...",technology
7,Stocks Settle Higher on Strong Tech Earnings and Economic Resilience,Barchart,2026-05-14 22:19:47+00:00,0.5924700864398427,https://www.nasdaq.com/articles/stocks-settle-higher-strong-tech-earnings-and-economic-resilience,"The S&P 500 Index ($SPX ) (SPY ) on Thursday closed up +0.77%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.75%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.73%. June E-mini S&P futures (ESM26 ) rose +0.78%, and June E-mini Nasdaq futures...",technology
8,My Portfolio Development Roadmap for Freelance Web Development,Heghine,2026-05-14 22:19:32+00:00,0.5918772713649405,https://dev.to/zeroaninea_8bec34a4e7d029/my-portfolio-development-roadmap-for-freelance-web-development-3g0,Source GitHub: https://github.com/ZeroaNinea Introduction One of the most...,technology
9,BranchOut Food Q1 Earnings Call Highlights,MarketBeat,2026-05-14 22:10:35+00:00,0.5721304180150146,https://www.marketbeat.com/instant-alerts/branchout-food-q1-earnings-call-highlights-2026-05-14/,"BranchOut Food (NASDAQ:BOF) executives said the company is focused on increasing factory utilization, diversifying its customer base and building inventory to support what management expects to be a record second quarter. During the company’s first-quarter 2026 earnings call, CFO John Dalfonsi said",technology
10,"POET CLASS ACTION ALERT: Johnson Fistel Encourages POET Technologies Inc. Shareholders to Submit Their Information Before June 29, 2026 Lead Plaintiff Deadline",Johnson Fistel; PLLP,2026-05-14 22:10:14+00:00,0.571412339024858,https://www.globenewswire.com/news-release/2026/05/14/3295485/0/en/POET-CLASS-ACTION-ALERT-Johnson-Fistel-Encourages-POET-Technologies-Inc-Shareholders-to-Submit-Their-Information-Before-June-29-2026-Lead-Plaintiff-Deadline.html,"SAN DIEGO, May 14, 2026 (GLOBE NEWSWIRE) -- Shareholder rights law firm Johnson Fistel, PLLP announces that a class action lawsuit has commenced on...",technology
11,"Jack Antonoff Calls Musicians Who Use AI ‘Godless Whores,’ Says Songwriting Has ‘Become an Ancient Ritual’",Hannah Dailey,2026-05-14 22:09:30+00:00,0.5699200133877926,https://www.billboard.com/music/music-news/jack-antonoff-slams-ai-musicians-1236248638/,"Jack Antonoff slammed people who use AI, or artificial intelligence, to make music, calling them ""Godless whores.""",technology
12,Closing arguments in blockbuster trial pitting Musk against OpenAI,AFP,2026-05-14 22:06:50+00:00,0.564629001271787,https://today.rtl.lu/news/world/closing-arguments-in-blockbuster-trial-pitting-musk-against-openai-619323949,,technology
13,Microsoft Copilot Can Collect Data From Your Edge Browser Tabs to Get to Know You,Omar Gallaga,2026-05-14 22:06:04+00:00,0.563146010975784,https://www.cnet.com/tech/services-and-software/microsoft-copilot-is-reading-your-edge-browser-tabs-to-get-to-know-you/,Microsoft says it's helping your browsing experience by using long-term AI memory across desktop and mobile versions of Edge.,technology
14,Streamex Corp. Reports Q1 2026 Financial Results and Announces Business & Quarterly Update Call - Streame,Globe Newswire,2026-05-14 22:01:22+00:00,0.5544058536932599,https://www.benzinga.com/pressreleases/26/05/g52585699/streamex-corp-reports-q1-2026-financial-results-and-announces-business-quarterly-update-call,"WINTER PARK, Fla., May 14, 2026 (GLOBE NEWSWIRE) -- Streamex Corp. (""Streamex"" or the ""Company"") (NASDAQ:STEX), a technology company focused on the tokenization of commodity real-world assets, today announced that it",technology
15,Streamex Corp. Reports Q1 2026 Financial Results and Announces Business & Quarterly Update Call,Streamex Corp,2026-05-14 22:01:22+00:00,0.5544058536932599,https://www.globenewswire.com/news-release/2026/05/14/3295482/22558/en/Streamex-Corp-Reports-Q1-2026-Financial-Results-and-Announces-Business-Quarterly-Update-Call.html,"WINTER PARK, Fla., May 14, 2026 (GLOBE NEWSWIRE) -- Streamex Corp. (“Streamex” or the “Company”) (NASDAQ: STEX), a technology company focused on the...",technology
16,Alienware releases new 15-inch gaming laptops with 165 Hz displays,Alex Alderson,2026-05-14 22:01:00+00:00,0.553748348399578,https://www.notebookcheck.net/Alienware-releases-new-15-inch-gaming-laptops-with-165-Hz-displays.1297063.0.html,"Alienware has released a new pair of 15-inch gaming laptops globally. Equipped with 165 Hz displays, the new Alienware 15 offers a choice of Nvidia GeForce RTX 50-series laptop GPUs, plus GeForce RTX 4050 and GeForce RTX 3050 as cheaper options.",technology
17,"I Drove Hyundai's Hydrogen-Fueled Nexo. It's Perfect, Just Not for the US",Antuan Goodwin,2026-05-14 22:00:35+00:00,0.5530052965923251,https://www.cnet.com/roadshow/news/i-drove-hyundai-nexo-hydrogen-fuel-suv/,"The hydrogen-powered SUV claims 435 miles of range, a 5-minute fill-up and a refined driving experience. Here's why FCEV technology is a perfect product operating in the wrong market.",technology
18,House bill making PRC ID valid for 5 years OKd on 2nd reading,Philippine News Agency,2026-05-14 21:54:00+00:00,0.5418171030232333,https://newsinfo.inquirer.net/2229215/house-bill-making-prc-id-valid-for-5-years-okd-on-2nd-reading,"MANILA, Philippines — The House of Representatives has approved on second reading a measure seeking to extend the validity of Professional Regulation Commission (PRC) identification cards to five",technology
19,Trump Bought Corporations’ Stock as His Administration Boosted Their Business,Samuel Larreal; Jackie Llanos,2026-05-14 21:51:16+00:00,0.5374573417175024,https://www.notus.org/money/donald-trump-stock-investments-palantir-axom-nvidia,New federal disclosures indicate the president went on a stock-buying spree in early 2026.,technology
